submitter_id.samples,cnv_vae_1,cnv_vae_2,cnv_vae_3,cnv_vae_4,cnv_vae_5,cnv_vae_6,cnv_vae_7,cnv_vae_8,cnv_vae_9,cnv_vae_10,cnv_vae_11,cnv_vae_12,cnv_vae_13,cnv_vae_14,cnv_vae_15,cnv_vae_16,cnv_vae_17,cnv_vae_18,cnv_vae_19,cnv_vae_20,cnv_vae_21,cnv_vae_22,cnv_vae_23,cnv_vae_24,cnv_vae_25,cnv_vae_26,cnv_vae_27,cnv_vae_28,cnv_vae_29,cnv_vae_30,cnv_vae_31,cnv_vae_32,label
TCGA-A2-A0CL-01,-0.03315927,0.05670765,-0.055361185,0.013606302,0.036183376,0.015338019,0.08684469,-0.033183526,-0.008034434,0.010842433,-0.062063195,-0.01080592,0.024745632,-0.036586408,0.012180677,0.7000631,0.015175849,0.009089805,-3.7973747e-05,-0.0647208,0.0302081,0.0069978572,-0.010412162,0.019036653,-0.09066825,0.059918396,-0.000928808,0.010362085,-0.10390411,0.00014793128,0.029680258,0.069380626,0
TCGA-A2-A0CM-01,-0.0063207895,-0.00350946,-0.03242624,0.028164469,-0.012797695,-0.024906695,0.019150596,0.04003035,0.025541905,-0.039349325,0.029739864,0.0068616862,-0.023465272,0.0584425,-0.003586898,0.7390312,-0.016267028,-0.049928986,0.03486049,0.045732446,0.020560969,0.023346666,-0.030501014,0.028210403,0.06012828,-0.03325037,-0.005766604,-0.0061525144,0.08656996,-0.006851621,-0.057632275,0.045249805,1
TCGA-A2-A0CO-01,-0.060618624,0.01196322,0.041194495,0.0013504848,0.003457088,-0.034256563,-0.0042294757,-0.031738516,-0.024270978,0.025045773,0.025680445,0.0014465447,0.02750026,0.012411351,-0.056720626,0.7455385,0.037712127,-0.046559088,-0.030959299,-0.061827354,-0.08778639,0.031700764,0.018202567,0.025550695,0.015605129,0.030465387,-0.00827704,0.00777122,-0.067360714,0.0024930462,0.008237248,0.05788438,0
TCGA-A2-A0CP-01,-0.015739486,0.034741253,0.05916625,-0.02200114,-0.0024277382,-0.020664543,-0.16085787,0.16513163,0.025061402,0.0019824114,0.11821907,0.10403623,-0.008209299,0.053885516,0.0076811216,0.61031044,-0.0146095455,-0.1540598,0.018622676,0.10362894,-0.07433568,0.019813422,-0.014104253,0.056867152,0.12685403,-0.10426346,0.042251732,-0.05098853,0.16948716,-0.049920805,-0.0006800834,0.027040707,0
TCGA-A2-A0CQ-01,-0.019974008,-0.0060084667,-0.029553123,0.02427867,0.017483015,0.005220607,0.02345666,-0.0025122487,0.044042047,-0.03168363,0.021973282,0.0032625939,0.029809238,-0.03458113,-0.009314785,0.77517366,0.060391337,-0.008143209,-0.007847099,-0.009588234,0.0028292201,-0.0010278039,0.021273846,-0.03929781,-0.01451879,0.018295161,-0.014582988,0.009532716,-0.008358404,-0.013109021,-0.072062515,-0.03280688,0
TCGA-A2-A0CR-01,-0.0069275945,-0.035854638,-0.016385797,-0.0051027015,-0.0079350285,0.02222976,-0.033633787,-0.037262466,0.03268257,-0.043025978,-0.0135572925,0.021789197,0.012134615,0.014376755,-0.011780033,0.94706964,-0.023395136,0.012117632,0.018626036,0.03920073,-0.03740258,0.011598486,-0.009172833,-0.023702381,-0.009556584,0.013341032,-0.05114003,-0.023547787,0.08008892,0.01670193,-0.0031769741,0.028090911,0
TCGA-A2-A0CS-01,-0.019974008,-0.0060084667,-0.029553123,0.02427867,0.017483015,0.005220607,0.02345666,-0.0025122487,0.044042047,-0.03168363,0.021973282,0.0032625939,0.029809238,-0.03458113,-0.009314785,0.77517366,0.060391337,-0.008143209,-0.007847099,-0.009588234,0.0028292201,-0.0010278039,0.021273846,-0.03929781,-0.01451879,0.018295161,-0.014582988,0.009532716,-0.008358404,-0.013109021,-0.072062515,-0.03280688,0
TCGA-A2-A0CT-01,0.049516648,0.008089723,0.05036479,-0.07503853,0.015856821,-0.08590786,-0.051606644,0.1832324,-0.094775766,0.0707381,0.105079524,-0.0143962465,-0.03693032,-0.010058914,0.036703814,-1.516198,0.030608296,-0.0788426,0.026752712,0.038055487,0.036071707,0.02114885,0.0010503477,0.0742079,0.080857225,-0.09465847,0.08878593,-0.111007154,0.08610985,-0.052105196,0.06153298,-0.08749263,0
TCGA-A2-A0CU-01,0.059516564,-0.00879669,0.05348384,-0.09311763,0.008836765,-0.08910398,-0.061846215,0.23059061,-0.10780969,0.10438269,0.1267817,0.009480339,-0.03160953,-0.0015793787,0.03355639,-1.5966978,0.02354534,-0.10511682,0.042539842,0.037302203,0.056530047,0.030266348,-0.0013893151,0.08304465,0.09146709,-0.10430787,0.12959337,-0.14432156,0.15928905,-0.05858881,0.041077487,-0.13055547,1
TCGA-A2-A0CV-01,-0.03320752,-0.035979807,-0.019605223,-0.032792367,-0.00849859,-0.0071835965,-0.0724779,0.067236096,0.03172526,-0.006838599,0.05367326,0.046604387,-0.034807917,0.038188275,-0.014380345,0.78647697,-0.017456591,-0.016742103,-0.0038281064,0.058944292,0.0022133477,0.026234154,-0.03522161,0.009338202,0.07410062,-0.05736459,0.036501016,-0.0306422,0.17316297,-0.012208231,-0.050281726,0.024691688,0
